epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50094,1.11396,2.23786,1.27477,0.93998,0.86957,0.97535,0.73056,0.86896,2.3679,1.10665,0.000658436,0.000658436,0.000658436
2,10.7122,1.03457,1.52891,1.1889,0.94677,0.98913,0.98028,0.75021,0.86669,1.44579,1.10874,0.00129887,0.00129887,0.00129887
3,15.1978,1.05216,1.52452,1.20232,0.64151,0.92391,0.84846,0.48926,1.20443,2.18281,1.50946,0.0019129,0.0019129,0.0019129
4,18.9701,1.08922,1.46653,1.20643,0.846,0.95652,0.96777,0.67015,1.01384,1.58936,1.32013,0.0018812,0.0018812,0.0018812
5,22.9734,1.01979,1.30769,1.18026,0.79818,0.96739,0.91012,0.64417,0.98171,1.38745,1.21088,0.0018416,0.0018416,0.0018416
6,26.9963,1.00779,1.12116,1.17336,0.92897,0.97826,0.98595,0.70008,0.97222,1.47501,1.23129,0.001802,0.001802,0.001802
7,31.1168,1.0476,1.12435,1.18254,0.97815,0.97334,0.99189,0.70411,1.01232,0.99012,1.20502,0.0017624,0.0017624,0.0017624
8,35.1259,1.00765,1.09249,1.17945,0.99958,0.98913,0.99468,0.75269,0.91077,0.87824,1.15653,0.0017228,0.0017228,0.0017228
9,39.38,0.98614,0.94224,1.14971,0.95695,1,0.98787,0.7592,0.9122,0.77513,1.20141,0.0016832,0.0016832,0.0016832
10,43.4526,1.02014,0.91059,1.16219,0.96811,0.98997,0.99447,0.74942,0.89182,0.7465,1.14632,0.0016436,0.0016436,0.0016436
11,47.5468,0.93737,0.82245,1.1219,0.97131,0.96739,0.99385,0.74977,0.92852,0.72338,1.1544,0.001604,0.001604,0.001604
12,51.5733,0.91538,0.81505,1.11,0.98871,0.98913,0.99309,0.75736,0.90901,0.63648,1.1124,0.0015644,0.0015644,0.0015644
13,55.8215,0.90857,0.76563,1.09652,0.96822,0.9935,0.99415,0.76516,0.911,0.59966,1.12106,0.0015248,0.0015248,0.0015248
14,59.8524,0.94587,0.72643,1.09084,0.99871,1,0.995,0.77759,0.88269,0.57684,1.11575,0.0014852,0.0014852,0.0014852
15,63.9387,0.92184,0.70505,1.13086,0.99864,1,0.995,0.79743,0.78363,0.5177,1.06544,0.0014456,0.0014456,0.0014456
16,68.1271,0.85952,0.65919,1.08025,0.98686,1,0.99489,0.77374,0.82572,0.52384,1.05044,0.001406,0.001406,0.001406
17,71.9595,0.90273,0.66548,1.11791,0.99905,1,0.995,0.78649,0.79321,0.4825,1.03543,0.0013664,0.0013664,0.0013664
18,75.9941,0.91293,0.65676,1.11151,0.99917,1,0.995,0.79365,0.81778,0.51049,1.06921,0.0013268,0.0013268,0.0013268
19,80.1397,0.87471,0.62987,1.08656,0.99904,1,0.995,0.76829,0.7978,0.50439,1.06966,0.0012872,0.0012872,0.0012872
20,84.0563,0.86961,0.6445,1.08445,0.97389,1,0.99394,0.78188,0.80795,0.51383,1.05497,0.0012476,0.0012476,0.0012476
21,88.0607,0.85909,0.61878,1.0906,0.98841,1,0.99489,0.75706,0.82842,0.51572,1.0909,0.001208,0.001208,0.001208
22,92.0148,0.80784,0.57912,1.05586,0.99752,1,0.995,0.80605,0.77267,0.43576,1.02952,0.0011684,0.0011684,0.0011684
23,96.0456,0.79778,0.54733,1.04944,0.99927,1,0.995,0.79256,0.78271,0.4434,1.04975,0.0011288,0.0011288,0.0011288
24,100.076,0.84992,0.56496,1.06707,0.99866,1,0.995,0.7897,0.78409,0.45743,1.056,0.0010892,0.0010892,0.0010892
25,103.871,0.84726,0.57227,1.07053,0.99905,1,0.995,0.79354,0.77065,0.49506,1.06202,0.0010496,0.0010496,0.0010496
26,107.739,0.78745,0.55066,1.05386,0.97872,0.99965,0.99403,0.78408,0.7985,0.47476,1.06391,0.00101,0.00101,0.00101
27,111.798,0.79689,0.52662,1.06394,0.99825,1,0.995,0.83686,0.7048,0.42024,0.99693,0.0009704,0.0009704,0.0009704
28,115.947,0.77129,0.50867,1.04149,0.9984,1,0.995,0.81879,0.73211,0.41702,1.01955,0.0009308,0.0009308,0.0009308
29,119.81,0.77427,0.51185,1.03708,0.99919,1,0.995,0.81989,0.76027,0.41172,1.03549,0.0008912,0.0008912,0.0008912
30,123.662,0.77351,0.49619,1.03151,0.99931,1,0.995,0.83185,0.69266,0.39156,0.9891,0.0008516,0.0008516,0.0008516
31,127.762,0.77937,0.49465,1.02822,0.99932,1,0.995,0.84013,0.66378,0.37297,0.98101,0.000812,0.000812,0.000812
32,131.829,0.73161,0.47077,1.02373,0.99937,1,0.995,0.84046,0.69532,0.3839,0.98544,0.0007724,0.0007724,0.0007724
33,135.934,0.76155,0.50059,1.04293,0.99938,1,0.995,0.84087,0.69363,0.38947,0.99719,0.0007328,0.0007328,0.0007328
34,140.177,0.72502,0.46308,1.01487,0.99932,1,0.995,0.82747,0.69551,0.39815,0.99742,0.0006932,0.0006932,0.0006932
35,144.191,0.79168,0.48688,1.03591,0.99932,1,0.995,0.82138,0.69572,0.38947,0.99323,0.0006536,0.0006536,0.0006536
36,148.073,0.72345,0.47176,1.01891,0.99933,1,0.995,0.83498,0.70137,0.36825,0.98831,0.000614,0.000614,0.000614
37,151.988,0.7398,0.46876,1.02852,0.99933,1,0.995,0.84692,0.68337,0.36117,0.9722,0.0005744,0.0005744,0.0005744
38,155.812,0.71586,0.4554,1.02491,0.99936,1,0.995,0.83434,0.6715,0.36896,0.98146,0.0005348,0.0005348,0.0005348
39,159.616,0.72086,0.44647,1.02131,0.99934,1,0.995,0.83752,0.69034,0.36335,0.9764,0.0004952,0.0004952,0.0004952
40,163.483,0.71401,0.42976,1.01416,0.99934,1,0.995,0.83846,0.68595,0.36179,0.9725,0.0004556,0.0004556,0.0004556
41,167.87,0.62555,0.39284,0.96577,0.99893,1,0.995,0.83327,0.69424,0.35738,0.97622,0.000416,0.000416,0.000416
42,171.88,0.61268,0.37445,0.97357,0.99914,1,0.995,0.82371,0.71844,0.36934,1.00409,0.0003764,0.0003764,0.0003764
43,175.947,0.60998,0.36578,0.97678,0.99929,1,0.995,0.83745,0.69721,0.35713,0.99314,0.0003368,0.0003368,0.0003368
44,180.282,0.60943,0.36142,0.95438,0.99933,1,0.995,0.85248,0.67789,0.34107,0.97364,0.0002972,0.0002972,0.0002972
45,184.265,0.6138,0.3592,0.96783,0.99935,1,0.995,0.83638,0.67073,0.34212,0.97767,0.0002576,0.0002576,0.0002576
46,188.252,0.57565,0.34043,0.93736,0.99927,1,0.995,0.84641,0.67284,0.34358,0.97034,0.000218,0.000218,0.000218
47,192.277,0.56653,0.34536,0.93802,0.99934,1,0.995,0.83266,0.67399,0.33907,0.97647,0.0001784,0.0001784,0.0001784
48,196.552,0.58185,0.34729,0.94534,0.99935,1,0.995,0.85733,0.63734,0.32374,0.95319,0.0001388,0.0001388,0.0001388
49,200.93,0.56967,0.33563,0.93973,0.99936,1,0.995,0.85791,0.63877,0.32396,0.952,9.92e-05,9.92e-05,9.92e-05
50,205.442,0.55908,0.32906,0.91611,0.99935,1,0.995,0.85326,0.64753,0.32628,0.96042,5.96e-05,5.96e-05,5.96e-05
